Section,Checklist Item,Description,점검 결과,구현 근거 (app.py 기준),검증 테스트
회원가입 및 프로필 관리,서버측 입력 검증,"사용자명(username)와 비밀번호(password)에 대해 길이, 허용 문자 집합, 형식 등 서버측 검증 수행. XSS 공격 방지를 위해 입력값 필터링 및 인코딩 적용 여부 확인",충족,"USERNAME_RE 정규식(^[A-Za-z0-9_]{3,20}$)으로 아이디 검증, 비밀번호 10~128자 검증(register). 출력은 Jinja2 자동 이스케이프",test_weak_password_is_rejected / test_xss_payload_in_product_is_escaped
,CSRF 보호,"회원가입, 로그인, 프로필 수정 등 모든 폼에 대해 CSRF 토큰 사용 여부를 확인하여 요청 위조 공격 방지",충족,"enforce_session_and_csrf() 에서 모든 POST 요청에 대해 세션 토큰과 secrets.compare_digest 비교. 모든 폼 템플릿에 csrf_token hidden input 포함",test_csrf_rejects_missing_token
,비밀번호 보안,"비밀번호를 평문으로 저장하지 않고 bcrypt, Argon2 등 강력한 해시 알고리즘과 고유 salt를 적용하여 암호화 저장하는지 확인",충족,"werkzeug generate_password_hash(기본 scrypt + 고유 salt) 사용. init_db() 에서 기존 평문 비밀번호를 1회 해시 마이그레이션",test_registration_hashes_password
,세션 쿠키 설정,"세션 쿠키에 HttpOnly 및 HTTPS 환경에서 Secure 플래그가 적용되어 있는지 확인",충족,"SESSION_COOKIE_HTTPONLY=True, SESSION_COOKIE_SAMESITE=Lax, SESSION_COOKIE_SECURE 는 MARKET_HTTPS=1 일 때 활성화",-
,세션 만료 및 재인증,"일정 시간 이후 세션 만료 및 민감 작업 시 재인증 로직이 구현되어 있는지 확인",충족,"유휴 30분 / 최대 8시간 만료(enforce_session_and_csrf). 비밀번호 변경 시 현재 비밀번호 재인증 후 세션 재발급(change_password)",test_password_change_requires_current_password
,실패 로그인 방어,"로그인 실패 횟수에 따른 계정 잠금 혹은 지연(time-out) 메커니즘 적용 여부 확인",충족,"IP+아이디 조합 기준 5분간 5회 초과 시 429 응답(_rate_limited, LOGIN_MAX_ATTEMPTS)",test_login_rate_limit_triggers_429
,오류 메시지,"오류 발생 시 내부 정보(스택 트레이스, DB 정보 등)가 노출되지 않도록 처리되어 있는지 확인",충족,"400/403/404/413/429/500 핸들러가 error.html 의 고정 메시지만 반환. debug=False 로 실행. 로그인 실패/아이디 중복 메시지를 동일하게 유지해 계정 열거 방지",-
상품 등록 및 관리,폼 입력 검증,"상품 제목, 설명, 가격 등의 입력 필드에 대해 서버측 검증 및 필수 항목 체크 여부 확인. 가격은 숫자 형식 및 범위 검증 적용",충족,"제목 1~100자, 설명 1~2000자, 가격 int 변환 후 0~1000000000 범위 검증(new_product / edit_product)",test_product_validation_rejects_non_numeric_price / test_product_negative_price_is_rejected
,XSS 방어,"사용자 입력(상품 설명 등)에 대해 HTML 태그 및 스크립트 코드 이스케이프 또는 필터링 적용 여부 확인",충족,"Jinja2 자동 이스케이프 유지(|safe 미사용). CSP 로 인라인 스크립트 차단. 채팅 렌더링은 textContent 만 사용",test_xss_payload_in_product_is_escaped
,인증된 사용자만 등록,"상품 등록, 수정, 삭제 기능이 로그인한 사용자에게만 허용되도록 접근 제어가 구현되어 있는지 확인",충족,"@login_required 데코레이터를 new_product / edit_product / delete_product / my_products 에 적용",-
,소유자 확인,"상품 수정 및 삭제 시, 요청한 사용자가 해당 상품의 소유자인지 검증하는 로직이 구현되어 있는지 확인",충족,"_owned_product_or_404() 에서 seller_id 대조 후 비소유자는 404(존재 은닉). UPDATE/DELETE 쿼리에도 seller_id 조건 중복 적용",test_cannot_edit_or_delete_other_users_product
,데이터 무결성,"데이터베이스에 저장되기 전 모든 필수 항목 및 형식이 올바른지 검증하는 로직이 있는지 확인",충족,"모든 INSERT 전 길이/타입/범위 검증. 스키마에 NOT NULL, UNIQUE 제약 및 PRAGMA foreign_keys=ON 적용",-
실시간 채팅 및 메시징,메시지 내용 검증,"채팅 메시지에 대해 길이 제한, 허용 문자 집합, XSS 이스케이프 처리 여부 등 서버측 검증 수행 여부 확인",충족,"_clean_message() 에서 dict/str 타입 확인 후 1~500자 검증. 초과 시 전송하지 않고 무시",test_oversized_chat_message_is_dropped
,사용자 인증,"Socket 연결 시 사용자가 인증된 상태인지 확인하는 로직(예: 로그인 상태 확인)이 적용되어 있는지 확인",충족,"handle_connect() 에서 세션 미보유 또는 휴면 계정이면 False 반환하여 연결 거부. 각 이벤트에서도 _authenticated_socket_user() 로 재확인",test_anonymous_socket_is_rejected
,메시지 검증,"클라이언트에서 수신한 메시지 데이터의 형식 및 내용에 대해 서버측 검증 로직이 존재하는지 확인",충족,"username 을 클라이언트 입력이 아닌 서버 세션에서 조회하여 신원 위조 차단. 1:1 메시지는 수신자 UUID 형식/존재/활성 여부 검증",test_socket_uses_server_side_username
,Rate Limiting,"동일 사용자가 단기간에 과도한 메시지를 보내지 않도록 제한하는 기능(스팸 방지)이 구현되어 있는지 확인",충족,"사용자 ID 기준 10초당 8건 제한(chat_attempts, CHAT_MAX_MESSAGES)",-
